ImageFile,corrAns,n,Questions_1.started_mean,Questions_1.started_raw,Questions_1.started_std,Questions_1.stopped_raw,Show.started_mean,Show.started_raw,Show.started_std,Show.stopped_raw,participant_response_1.corr_mean,participant_response_1.corr_raw,participant_response_1.corr_std,participant_response_1.keys_raw,participant_response_1.rt_mean,participant_response_1.rt_raw,participant_response_1.rt_std,participant_response_1.started_mean,participant_response_1.started_raw,participant_response_1.started_std,participant_response_1.stopped_raw,resptrial1.started_mean,resptrial1.started_raw,resptrial1.started_std,resptrial1.stopped_raw,order
recoding_task_1/q1.png,1,1.0,93.32804870605469,93.32804870605469,0.0,,93.32804870605469,93.32804870605469,0.0,,1.0,1.0,0.0,'1',4.40593147277832,4.40593147277832,0.0,93.32804870605469,93.32804870605469,0.0,,93.32804870605469,93.32804870605469,0.0,,0.0
recoding_task_1/q2.png,4,1.0,97.77849578857422,97.77849578857422,0.0,,97.77849578857422,97.77849578857422,0.0,,1.0,1.0,0.0,'4',2.167140245437622,2.167140245437622,0.0,97.77849578857422,97.77849578857422,0.0,,97.77849578857422,97.77849578857422,0.0,,1.0
recoding_task_1/q3.png,2,1.0,99.99781799316406,99.99781799316406,0.0,,99.99781799316406,99.99781799316406,0.0,,1.0,1.0,0.0,'2',0.8218295574188232,0.8218295574188232,0.0,99.99781799316406,99.99781799316406,0.0,,99.99781799316406,99.99781799316406,0.0,,2.0
recoding_task_1/q4.png,4,1.0,100.860595703125,100.860595703125,0.0,,100.860595703125,100.860595703125,0.0,,0.0,0.0,0.0,'3',0.6360588073730469,0.6360588073730469,0.0,100.860595703125,100.860595703125,0.0,,100.860595703125,100.860595703125,0.0,,3.0
recoding_task_1/q5.png,2,1.0,101.54750061035156,101.54750061035156,0.0,,101.54750061035156,101.54750061035156,0.0,,0.0,0.0,0.0,'4',0.6892278790473938,0.6892278790473938,0.0,101.54750061035156,101.54750061035156,0.0,,101.54750061035156,101.54750061035156,0.0,,4.0
recoding_task_1/q6.png,5,1.0,102.27696990966797,102.27696990966797,0.0,,102.27696990966797,102.27696990966797,0.0,,0.0,0.0,0.0,'3',0.5445660948753357,0.5445660948753357,0.0,102.27696990966797,102.27696990966797,0.0,,102.27696990966797,102.27696990966797,0.0,,5.0
recoding_task_1/q7.png,1,1.0,102.86009216308594,102.86009216308594,0.0,,102.86009216308594,102.86009216308594,0.0,,1.0,1.0,0.0,'1',0.4333888590335846,0.4333888590335846,0.0,102.86009216308594,102.86009216308594,0.0,,102.86009216308594,102.86009216308594,0.0,,6.0
recoding_task_1/q8.png,3,1.0,103.32750701904297,103.32750701904297,0.0,,103.32750701904297,103.32750701904297,0.0,,0.0,0.0,0.0,'2',0.5858832597732544,0.5858832597732544,0.0,103.32750701904297,103.32750701904297,0.0,,103.32750701904297,103.32750701904297,0.0,,7.0
recoding_task_1/q9.png,5,1.0,103.96332550048828,103.96332550048828,0.0,,103.96332550048828,103.96332550048828,0.0,,0.0,0.0,0.0,'4',0.4522607922554016,0.4522607922554016,0.0,103.96332550048828,103.96332550048828,0.0,,103.96332550048828,103.96332550048828,0.0,,8.0
recoding_task_1/q10.png,5,1.0,104.4601821899414,104.4601821899414,0.0,,104.4601821899414,104.4601821899414,0.0,,0.0,0.0,0.0,'1',0.5252467393875122,0.5252467393875122,0.0,104.4601821899414,104.4601821899414,0.0,,104.4601821899414,104.4601821899414,0.0,,9.0

extraInfo
participant,1
session,1
date,2020_Nov_21_2340
expName,Paper Folding PsychoPy
psychopyVersion,2020.2.5
frameRate,60.097560590097835
